ville;latitude;longitude
Moissy Moulinot;47.327325796;3.707138721
Montaron;46.876229584;3.74814841
Montigny Aux Amognes;47.025418665;3.279291198
Montsauche Les Settons;47.214293843;4.033132574
Moussy;47.196501089;3.458811837
Neuvy Sur Loire;47.532184059;2.890145485
Parigny Les Vaux;47.100804556;3.14618141
Perroy;47.404986749;3.164677484
Pougny;47.393831753;3.023949976
Raveau;47.17926708;3.11591039
Rix;47.428512741;3.497810228
Rouy;47.038444956;3.540866134
Saincaize Meauce;46.907173624;3.086845687
St Amand En Puisaye;47.548323784;3.078355821
St Andelain;47.310384116;2.979820121
St Aubin Les Forges;47.142698568;3.188014293
St Benin D Azy;46.996333663;3.404599867
St Brisson;47.267265254;4.095032233
Ste Colombe Des Bois;47.320917806;3.153157406
St Didier;47.347673421;3.620226539
St Germain Des Bois;47.368787274;3.519227773
St Hilaire En Morvan;47.06844189;3.887071717
St Martin D Heuille;47.047771084;3.232701792
St Parize Le Chatel;46.850549482;3.184554383
St Pereuse;47.058655622;3.809291888
St Pierre Du Mont;47.397152106;3.445964737
St Saulge;47.101706892;3.519020775
Saizy;47.356468636;3.699305614
Sauvigny Les Bois;46.97672732;3.265716918
Savigny Poil Fol;46.783063431;3.834829642
Sermages;47.014754309;3.840844707
Sougy Sur Loire;46.860833962;3.406365103
Taconnay;47.312462675;3.489728345
Tamnay En Bazois;47.05447347;3.723322788
Ternant;46.752204501;3.848258349
Tintury;47.001103423;3.587717764
Tracy Sur Loire;47.328811429;2.913507219
Trois Vevres;46.911289164;3.422713491
Varennes Vauzelles;47.037171544;3.143816706
Vauclaix;47.226945644;3.818473294
Villapourcon;46.938009519;3.956586921
Villiers Le Sec;47.376396559;3.438075945
Abergement La Ronce;47.064796871;5.3777147020000005
Aiglepierre;46.955778512;5.809725465
Andelot En Montagne;46.859307701;5.9287358910000005
Annoire;46.959137146;5.277080177
Arbois;46.894404349;5.773071251
Ardon;46.772582561;5.876813684
Arinthod;46.393818871;5.582269114
Les Arsures;46.952953571;5.78448162
La Chailleuse;46.581654364;5.526378282
Augea;46.561977614;5.389704364
Augisey;46.554958723;5.495274567
Authume;47.125097086;5.5077556990000005
Baresia Sur L Ain;46.542556338;5.702967812
Bersaillin;46.857207383;5.595263907
Bief Du Fourg;46.820307882;6.116823945
Bletterans;46.73099818;5.426692489
Boissia;46.580398304;5.721268625
Brainans;46.874338822;5.627977286
Cernans;46.93402991;5.938916487
Cesancey;46.622738688;5.493457369
Chamblay;46.990400377;5.703642578
Champagney;47.260097181;5.5044443
Champagnole;46.744975968;5.8983600670000005
Champdivers;47.007794972;5.390195236
Champrougier;46.87911614;5.512528995
La Chassagne;46.868024219;5.4550856880000005
Chatel De Joux;46.52980412;5.809442391
La Chaumusse;46.600726273;5.943755309
Chaux Des Crotenay;46.66328688;5.957121204
Nanchez;46.500781245;5.861824827
St Hymetiere Sur Valouse;46.347931605;5.5673489830000005
St Hymetiere Sur Valouse;46.347931605;5.5673489830000005
St Hymetiere Sur Valouse;46.347931605;5.5673489830000005
Chevreaux;46.499559331;5.43244807
Chevrotaine;46.652848582;5.860571474
Choux;46.30173613;5.770142336
Courbette;46.598515602;5.569052397
Crans;46.695251604;5.982330751
Cressia;46.526997962;5.483738782
Darbonnay;46.825255392;5.60789332
Desnes;46.767768879;5.468146705
Domblans;46.769387126;5.587256626
Ecrille;46.502347659;5.633946941
Val D Epy;46.389785344;5.397605725
Val D Epy;46.389785344;5.397605725
L Etoile;46.715901208;5.534098399
Falletans;47.081906099;5.566900417
Fay En Montagne;46.753761219;5.71729563
La Ferte;46.940273716;5.650059485
Fontenu;46.672524779;5.814694447
Fraroz;46.728653012;6.095349334
Frontenay;46.787924716;5.631315523
Gigny;46.454282314;5.471075037
Grande Riviere Chateau;46.528638867;5.909426948
Les Hays;46.908635733;5.39126767
Ivory;46.899110215;5.849311438
Larrivoire;46.339008848;5.787878066
Lect;46.394732447;5.672467609
Valzin En Petite Montagne;46.431656241;5.585594549
Longchaumois;46.463174814;5.963032775
Lons Le Saunier;46.674816281;5.557754161
Malange;47.183846224;5.614911678
Mantry;46.794726176;5.555211245
Marigna Sur Valouse;46.446461908;5.528323143
Marigny;46.679329287;5.777720172
Mathenay;46.929764738;5.679439534
Mesnois;46.594424045;5.676992017
Messia Sur Sorne;46.663781838;5.515367551
Mieges;46.789982519;6.051455026
Mieges;46.789982519;6.051455026
Mignovillard;46.77774079;6.140716692
Moissey;47.188453105;5.532434426
Chassal Molinges;46.357518899;5.778193947
Monnetay;46.457979807;5.511419574
Montain;46.72079781;5.577984309
Morbier;46.557287203;6.016436172
Hauts De Bienne;46.514383984;5.995902986
Mouchard;46.977657836;5.789685614
Moutonne;46.52992345;5.566253083
Les Trois Chateaux;46.419552874;5.35630085
Nance;46.748424371;5.422699141
Neublans Abergement;46.904215976;5.339167367
Nozeroy;46.770131675;6.036061654
Orgelet;46.519453561;5.598867642
Our;47.107219545;5.648897421
Le Pasquier;46.798222911;5.897069634
Patornay;46.587333549;5.709553322
Peintre;47.197841354;5.473005162
Pimorin;46.496029783;5.500632464
Plainoiseau;46.725144633;5.555650076
Pont De Poitte;46.572002783;5.68755453
Pont D Hery;46.87660733;5.899130373
Pont D Hery;46.87660733;5.899130373
Presilly;46.557250928;5.581948101
Pretin;46.931565447;5.835326207
Pupillin;46.87631303;5.751864403
Quintigny;46.734446112;5.523936248
Rainans;47.157753345;5.473721798
Rye;46.880519205;5.425733112
St Aubin;47.032617038;5.333128565
St Germain En Montagne;46.77921262;5.937871342
Val Suran;46.386313329;5.443105612
St Lamain;46.804267629;5.597646331
St Laurent En Grandvaux;46.56967647;5.962581102
St Loup;46.99639813;5.305116218
St Pierre;46.568212339;5.903128161
St Thiebaud;46.971606636;5.879766021
Saizenay;46.967964379;5.9286458920000005
Seligney;46.944742626;5.54086847
Supt;46.85419612;5.981511174
Syam;46.696810431;5.951906666
Tavaux;47.037624924;5.402858802
Thesy;46.904808449;5.929312164
Thoirette Coisia;46.291657094;5.518713624
Thoirette Coisia;46.291657094;5.518713624
Vadans;46.938400986;5.70563838
